common.name,scientific.name,state,query.volume.state,encounter.state.normalized
white-tipped dove,Leptotila verreauxi,Colorado,0,0
white-tipped dove,Leptotila verreauxi,Connecticut,0,0
white-tipped dove,Leptotila verreauxi,Delaware,0,0
white-tipped dove,Leptotila verreauxi,District of Columbia,0,0
white-tipped dove,Leptotila verreauxi,Florida,0,0
white-tipped dove,Leptotila verreauxi,Georgia,0,0
white-tipped dove,Leptotila verreauxi,Hawaii,0,0
white-tipped dove,Leptotila verreauxi,Idaho,0,0
white-tipped dove,Leptotila verreauxi,Illinois,0,0
white-tipped dove,Leptotila verreauxi,Indiana,0,0
white-tipped dove,Leptotila verreauxi,Iowa,0,0
white-tipped dove,Leptotila verreauxi,Kansas,0,0
white-tipped dove,Leptotila verreauxi,Kentucky,0,0
white-tipped dove,Leptotila verreauxi,Louisiana,0,0
white-tipped dove,Leptotila verreauxi,Maine,0,0
white-tipped dove,Leptotila verreauxi,Maryland,0,0
white-tipped dove,Leptotila verreauxi,Massachusetts,0,0
white-tipped dove,Leptotila verreauxi,Michigan,0,0
white-tipped dove,Leptotila verreauxi,Minnesota,0,0
white-tipped dove,Leptotila verreauxi,Mississippi,0,0
white-tipped dove,Leptotila verreauxi,Missouri,0,0
white-tipped dove,Leptotila verreauxi,Montana,0,0
white-tipped dove,Leptotila verreauxi,Nebraska,0,0
white-tipped dove,Leptotila verreauxi,Nevada,0,0
white-tipped dove,Leptotila verreauxi,New Hampshire,0,0
white-tipped dove,Leptotila verreauxi,New Jersey,0,0
white-tipped dove,Leptotila verreauxi,New Mexico,0,0
white-tipped dove,Leptotila verreauxi,New York,0,0
white-tipped dove,Leptotila verreauxi,North Carolina,0,0
white-tipped dove,Leptotila verreauxi,North Dakota,0,0
white-tipped dove,Leptotila verreauxi,Ohio,0,0
white-tipped dove,Leptotila verreauxi,Oklahoma,15,0
white-tipped dove,Leptotila verreauxi,Oregon,0,0
white-tipped dove,Leptotila verreauxi,Pennsylvania,0,0
white-tipped dove,Leptotila verreauxi,Rhode Island,0,0
white-tipped dove,Leptotila verreauxi,South Carolina,0,0
white-tipped dove,Leptotila verreauxi,South Dakota,0,0
white-tipped dove,Leptotila verreauxi,Tennessee,0,0
white-tipped dove,Leptotila verreauxi,Texas,100,100
white-tipped dove,Leptotila verreauxi,Utah,0,0
white-tipped dove,Leptotila verreauxi,Vermont,0,0
white-tipped dove,Leptotila verreauxi,Virginia,0,0
white-tipped dove,Leptotila verreauxi,Washington,0,0
